115.16,115.7,114.71,114.77
114,115.16,113.68,115.16
113.62,113.68,113.29,113.66
113.28,113.64,113.27,113.6
113.16,113.3,113.05,113.26
113.3264,113.38,113.07,113.135
113.26,113.37,113.145,113.32
113.05,113.26,113.03,113.26
113.341,113.433,112.975,113.045
113.67,113.7,113.23,113.33
113.285,113.68,113.285,113.675
113.205,113.35,112.88,113.32
113.14,113.38,113.13,113.26
113.34,113.37,113.16,113.18
112.97,113.34,112.97,113.34
112.9044,113.04,112.855,113.02
112.77,112.97,112.76,112.94
112.805,112.89,112.68,112.795
112.655,112.82,112.55,112.77
112.49,112.7,112.38,112.68
112.47,112.57,112.36,112.485
112.658,112.75,112.435,112.5
112.93,112.9313,112.54,112.65
113.015,113.015,112.74,112.91
113.04,113.07,112.93,113.02
113.005,113.1,112.9501,113.03
112.975,113.04,112.78,113.005
112.8,112.97,112.78,112.97
112.66,112.8665,112.58,112.81
112.73,112.8,112.525,112.615
112.58,112.79,112.5669,112.705
112.3701,112.72,112.365,112.6049
112.45,112.54,112.29,112.4
112.4,112.6,112.4,112.505
112.325,112.5,112.3,112.44
112.4609,112.57,112.33,112.33
112.23,112.475,112.21,112.46
112.15,112.42,112.11,112.2599
112.24,112.38,112.12,112.17
112.585,112.63,112.25,112.25
112.51,112.66,112.48,112.58
112.58,112.645,112.3278,112.52
112.89,112.91,112.5884,112.61
112.57,112.935,112.57,112.92
112.55,112.595,112.36,112.55
112.3203,112.61,112.178,112.55
112.36,112.4,112.08,112.31
112.44,112.54,112.3373,112.35
112.765,112.79,112.355,112.41
112.8,112.815,112.64,112.78
112.7298,113.12,112.58,112.77
112.602,112.76,112.51,112.72
112.575,112.66,112.425,112.61
112.58,112.7001,112.4,112.605
112.25,112.57,112.25,112.56
112.73,112.77,112.1801,112.235
112.78,113.04,112.58,112.7
112.27,112.92,112.27,112.79
112.1571,112.43,112.1571,112.23
112.0943,112.175,111.73,112.1171
112.18,112.36,111.96,112.11
112.03,112.2,111.9,112.165
112,112.24,111.8792,112.06
112.55,112.65,111.94,111.94
112.53,112.69,112.41,112.53
112.46,112.75,112.12,112.485
112.53,112.71,112.4,112.43
112.87,113,112.42,112.525
112.75,112.89,112.525,112.846
112.81,112.95,112.46,112.7282
113,113.1325,112.625,112.83
112.9,113.62,112.88,113.03
113.54,113.59,112.68,112.94
111.74,113.73,111.6475,113.58
111.14,111.9,111.13,111.59
110.59,112.15,110.5022,111.3
110.3,110.685,110.13,110.59
110.35,110.73,110.16,110.35
106.76,106.8,105.91,106.4
106.4,106.98,106.18,106.731
105.2427,106.43,105.23,106.29
105.76,105.78,105.22,105.23
105.94,106.155,105.65,105.705
106.09,106.36,105.845,105.92
105.87,106.18,105.82,106.09
106.245,106.3135,105.83,105.9
105.92,106.48,105.835,106.25
105.7389,106.13,105.66,105.945
106.03,106.08,105.68,105.8001
106.23,106.54,105.94,105.98
106.12,106.29,106.09,106.2056
105.8,106.44,105.8,106.1
105.4964,105.86,105.4964,105.815
105.91,106.04,105.47,105.4853
106.0699,106.12,105.9,105.92
105.97,106.06,105.87,106.05
105.487,106.01,105.43,105.9616
105.43,105.6,105.28,105.46
105.19,105.41,105.1,105.3392
105.08,105.15,104.99,105.15
